회사명,공고제목,지역,경력,학력,마감일,검색어,페이지
한국펀드평가(주),[한국펀드평가] 데이터분석팀 신입직원 채용,서울 종로구,신입,대졸↑,~ 05/25(월),데이터분석,1
(주)신세계아이앤씨,데이터분석(데이터사이언스) 인재모집(채용 시 마감),서울전체,경력 3~7년,대졸↑,~ 05/31(일),데이터분석,1
넛지헬스케어(주),[캐시워크] 데이터분석 담당 채용전환형 인턴,서울 강남구,신입,대졸↑,~ 05/19(화),데이터분석,1
(주)핀인사이트,⭐취업연계⭐핀테크 특화 실무프로젝트 기반 생성형 AI 데이터분석 과정 2기,서울 영등포구,경력무관,학력무관,~ 05/27(수),데이터분석,1
(주)다이트랩,"[다이트랩] SQL, Python 활용 데이터분석 경력직 채용(3년이상)",서울 강남구,경력3년↑,초대졸↑,~ 05/20(수),데이터분석,1
(주)퍼즐데이터,[퍼즐데이터] 데이터분석가 채용(경력),서울 강남구,경력1년↑,대졸↑,~ 06/05(금),데이터분석,1
(주)씨아이템프러리,[현대카드/계약직] Fraud관리팀 채용 (FDS / SQL 데이터분석),서울 영등포구,경력무관,학력무관,~ 05/22(금),데이터분석,1
(주)디코드셀,단일세포·공간전사체 데이터분석 및 파이프라인 개발,서울 금천구,경력무관,석사↑,채용시,데이터분석,1
메디케이시스템,"AI제조, LLM, 데이터분석 연구 [박사급]",경기 하남시,경력무관,박사,~ 05/27(수),데이터분석,1
(주)스마트카라,(주)스마트카라 CS팀(AS데이터분석) 부문 채용,인천 연수구,신입·경력,고졸↑,~ 06/10(수),데이터분석,1
넛지헬스케어(주),[캐시워크] 데이터분석가 - 석사/박사,서울 강남구,경력무관,석사↑,~ 05/19(화),데이터분석,1
닐슨아이큐서비스코리아(유),[닐슨아이큐코리아] 데이터분석 및 시장조사 (대리급),서울 중구,경력 2~5년,대졸↑,~ 06/07(일),데이터분석,1
(주)에듀캔버스,데이터분석 및 웹기획 담당자 채용,경기 성남시 수정구,경력 2~10년,대졸↑,~ 06/13(토),데이터분석,1
(주)레이어,[LAYER] 데이터분석가 채용 (경력 4년 이상),서울 강남구,경력4년↑,학력무관,~ 05/22(금),데이터분석,1
(주)미스터네이처,미스터네이처 굿스푼 데이터분석 마케터 모집 서울 경기,경기 화성시,경력1년↑,학력무관,~ 06/03(수),데이터분석,1
(주) 씨나브로코리아,"(온라인) 데이터분석, 발주처리, 판매관리, 쇼핑몰운용 경력모집",경기 고양시 덕양구,경력3년↑,대졸↑,~ 05/24(일),데이터분석,1
제이투케이,데이터분석 금융투자분석  투자경험 나이무관 파트가능,서울 서초구,경력무관,학력무관,상시채용,데이터분석,1
부산인터넷방송국,"AI, 딥러닝, 머신러닝, 데이터분석, 분석방법론~학습로드맵 모집",부산 부산진구,경력1년↑,초대졸↑,~ 05/31(일),데이터분석,1
넛지헬스케어(주),[캐시워크] 데이터분석 담당 병역특례 대상자 모집,서울 강남구,경력무관,학력무관,~ 05/19(화),데이터분석,1
프로페셔날핸즈인핸즈코리아(주),중견기업 데이터분석 (과장급) 정규직 채용,서울 강남구,경력 6~13년,대졸↑,~ 05/31(일),데이터분석,1
(주)백그라운드,## 전기 충전 인프라 상장기업 -  가동률제고팀 데이터분석가,경기 안양시 동안구,경력 5~16년,대졸↑,~ 05/26(화),데이터분석,1
글로벌서치,임상 데이터분석,서울 서초구,경력 3~12년,석사↑,~ 05/27(수),데이터분석,1
커리어커넥트(주),대형저축은행 플랫폼사업팀원 (제휴서비스/데이터분석 경력자),서울 강남구,경력 5~9년,대졸↑,~ 05/16(토),데이터분석,1
연이,데이터분석 준전문가 자격증 온라인 강의 교사 채용,서울 광진구,경력 3~10년,학력무관,~ 06/04(목),데이터분석,1
하이온,[경력] 온라인 영업MD 채용 디지털가전·채널 영업·데이터분석,인천 부평구,경력3년↑,학력무관,~ 05/24(일),데이터분석,1
(주)헬로서치,[유명게임사] 게임데이터분석,경기 성남시 분당구,경력7년↑,대졸↑,~ 05/24(일),데이터분석,1
(사)한국바이오협회,2026년 바이오 빅데이터(유전체) 분석 취업희망자 과정 교육생 모집(마감임박),경기 성남시,경력무관,초대졸↑,오늘마감,데이터분석,1
씨메스로보틱스(주),데이터 정리 및 분석 지원(계약직),서울 강남구,경력무관,초대졸↑,~ 05/31(일),데이터분석,1
(주)에이디수산,(주)에이디수산 스마트팜 데이터 분석가 채용,서울 성동구,경력무관,대졸↑,내일마감,데이터분석,1
